Store_Number,Store_Founded,Store_Type,Store_Size,Store_Location_Type,Item_Number,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Store_Sales_Value
STR049,1999,Supermarket,Medium,Tier 1,FDO40,17.1,Low Fat,0.032678839,Frozen Foods,150.7392,3131.9232
STR013,1987,Supermarket,High,Tier 3,FDD21,10.3,Regular,0,Fruits and Vegetables,115.0176,4122.6336
STR013,1987,Supermarket,High,Tier 3,FDO36,19.7,Low Fat,0.077849003,Baking Goods,179.166,3056.022
STR049,1999,Supermarket,Medium,Tier 1,FDV34,10.695,Regular,0.011443222,Snack Foods,73.5038,1478.076
STR045,2002,Supermarket,Small,Tier 2,NCY18,7.285,Low Fat,0.031214809,Household,177.1054,2626.581
STR018,2009,Convenience,Medium,Tier 3,NCM54,17.7,Low Fat,0.051146565,Household,127.3678,3306.3628
STR049,1999,Supermarket,Medium,Tier 1,FDB59,18.25,Low Fat,0.015302653,Snack Foods,198.0084,793.6336
STR010,1998,Grocery Store,Small,Tier 3,FDS45,5.175,Regular,0.04937018,Snack Foods,106.7622,211.7244
STR049,1999,Supermarket,Medium,Tier 1,FDV24,5.635,Low Fat,0.078362484,Baking Goods,148.705,1198.44
STR010,1998,Grocery Store,Small,Tier 3,FDD46,6.035,Low Fat,0.236433601,Snack Foods,155.5998,153.7998
STR018,2009,Convenience,Medium,Tier 3,FDQ39,14.8,Low Fat,0.081372267,Meat,191.4846,3057.3536
STR046,1997,Supermarket,Small,Tier 1,FDD52,18.25,Regular,0.18329488,Dairy,111.657,1537.998
STR018,2009,Convenience,Medium,Tier 3,FDL39,16.1,Regular,0.06358934,Dairy,179.4318,360.8636
STR018,2009,Convenience,Medium,Tier 3,FDV02,16.75,Low Fat,0.060792265,Dairy,170.4106,513.3318
STR046,1997,Supermarket,Small,Tier 1,FDE11,17.7,Regular,0,Starchy Foods,184.3924,4257.1252
STR049,1999,Supermarket,Medium,Tier 1,NCU54,8.88,Low Fat,0.098775709,Household,208.927,7130.718
STR010,1998,Grocery Store,Small,Tier 3,FDR43,18.2,Low Fat,0.270300331,Fruits and Vegetables,38.319,109.857
STR013,1987,Supermarket,High,Tier 3,FDD51,11.15,Low Fat,0.119852889,Dairy,44.9744,498.0184
STR017,2007,Supermarket,Small,Tier 2,FDO60,20,Low Fat,0.034563936,Baking Goods,45.3086,490.6946
STR013,1987,Supermarket,High,Tier 3,NCS06,7.935,Low Fat,0.031710329,Household,263.091,5522.811
STR045,2002,Supermarket,Small,Tier 2,FDX50,20.1,Low Fat,0.074778547,Dairy,110.7228,1657.842
STR035,2004,Supermarket,Small,Tier 2,FDQ55,13.65,Regular,0.013035609,Fruits and Vegetables,114.7834,3455.502
STR018,2009,Convenience,Medium,Tier 3,FDL52,6.635,Regular,0.046277956,Frozen Foods,36.7506,75.9012
STR045,2002,Supermarket,Small,Tier 2,FDK52,18.25,Low Fat,0.0793795,Frozen Foods,226.1062,6771.186
STR017,2007,Supermarket,Small,Tier 2,NCO02,11.15,Low Fat,0.073783159,Others,66.0142,988.713
STR035,2004,Supermarket,Small,Tier 2,NCO30,19.5,Low Fat,0.01572192,Household,185.6608,918.804
STR049,1999,Supermarket,Medium,Tier 1,FDA33,6.48,Low Fat,0.033952603,Snack Foods,148.2076,3399.5748
STR013,1987,Supermarket,High,Tier 3,FDB12,11.15,Regular,0.105220024,Baking Goods,102.7648,1142.5128
STR013,1987,Supermarket,High,Tier 3,FDT40,5.985,Low Fat,0.095715608,Frozen Foods,125.8678,3560.6984
STR017,2007,Supermarket,Small,Tier 2,NCO05,7.27,Low Fat,0.046822808,Health and Hygiene,99.3384,2759.0752
STR049,1999,Supermarket,Medium,Tier 1,FDR32,6.78,Regular,0,Fruits and Vegetables,227.5694,3653.9104
STR018,2009,Convenience,Medium,Tier 3,FDM04,9.195,Regular,0.04731256,Frozen Foods,50.7666,512.666
STR013,1987,Supermarket,High,Tier 3,DRL01,19.5,Regular,0.077108099,Soft Drinks,232.8958,5608.6992
STR018,2009,Convenience,Medium,Tier 3,FDQ56,6.59,Low Fat,0.106027474,Fruits and Vegetables,83.9908,1426.1436
STR046,1997,Supermarket,Small,Tier 1,FDH08,7.51,Low Fat,0.01742908,Fruits and Vegetables,229.601,6201.927
STR019,1985,Grocery Store,Small,Tier 1,NCQ06,,Low Fat,0.073229342,Household,254.1014,255.0014
STR019,1985,Grocery Store,Small,Tier 1,FDG16,,Low Fat,0.157257637,Frozen Foods,215.0192,1078.596
STR027,1985,Cold Storage,Medium,Tier 3,FDZ40,,Low Fat,0.039988162,Frozen Foods,55.7298,1024.6662
STR035,2004,Supermarket,Small,Tier 2,FDY51,12.5,Low Fat,0.081119484,Meat,220.0798,1322.2788
STR018,2009,Convenience,Medium,Tier 3,NCN41,17,Low Fat,0.052421981,Health and Hygiene,123.773,1231.73
STR027,1985,Cold Storage,Medium,Tier 3,NCM17,,Low Fat,0.070791391,Health and Hygiene,46.4086,2007.387
STR017,2007,Supermarket,Small,Tier 2,FDP39,12.65,Low Fat,0.069817659,Meat,53.5324,830.9184
STR035,2004,Supermarket,Small,Tier 2,FDZ08,12.5,Regular,0.109971578,Fruits and Vegetables,82.7592,577.9144
STR018,2009,Convenience,Medium,Tier 3,FDU03,18.7,Regular,0.091950972,Meat,184.2292,1277.0044
STR046,1997,Supermarket,Small,Tier 1,FDZ49,11,Regular,0.133145617,Canned,218.4798,2203.798
STR019,1985,Grocery Store,Small,Tier 1,NCX30,,Low Fat,0.046609281,Household,248.6776,495.3552
STR045,2002,Supermarket,Small,Tier 2,FDV08,7.35,Low Fat,0.028652919,Fruits and Vegetables,40.5454,545.2902
STR013,1987,Supermarket,High,Tier 3,FDB15,10.895,Low Fat,0.136696892,Dairy,264.5568,5536.7928
STR013,1987,Supermarket,High,Tier 3,FDY49,17.2,Regular,0.012002075,Canned,165.3184,990.7104
STR017,2007,Supermarket,Small,Tier 2,FDF24,15.5,Regular,0.025513973,Baking Goods,83.7934,1474.0812
STR045,2002,Supermarket,Small,Tier 2,DRK47,7.905,Low Fat,0.064194304,Hard Drinks,229.4694,2055.3246
STR017,2007,Supermarket,Small,Tier 2,DRD37,9.8,Low Fat,0.013920032,Soft Drinks,45.006,792.302
STR018,2009,Convenience,Medium,Tier 3,FDH40,11.6,Regular,0.079251097,Frozen Foods,79.2276,649.8208
STR027,1985,Cold Storage,Medium,Tier 3,FDL12,19.7,Regular,0.121043709,Baking Goods,59.422,1078.596
STR027,1985,Cold Storage,Medium,Tier 3,FDW11,,Low Fat,0.048545853,Breads,60.1194,1114.5492
STR035,2004,Supermarket,Small,Tier 2,NCE06,5.825,Low Fat,0.091467933,Household,159.7894,1294.3152
STR018,2009,Convenience,Medium,Tier 3,FDF32,16.35,Low Fat,0,Fruits and Vegetables,196.3426,1384.1982
STR035,2004,Supermarket,Small,Tier 2,DRI47,14.7,Low Fat,0.020916223,Hard Drinks,141.8128,1869.5664
STR035,2004,Supermarket,Small,Tier 2,DRA12,11.6,Low Fat,0,Soft Drinks,141.9154,992.7078
STR013,1987,Supermarket,High,Tier 3,FDX45,16.75,Low Fat,0.104768536,Snack Foods,155.163,2972.797
STR013,1987,Supermarket,High,Tier 3,FDR35,12.5,Low Fat,0.020680499,Breads,197.2742,2587.9646
STR010,1998,Grocery Store,Small,Tier 3,FDK03,12.6,Regular,0.123727659,Dairy,253.0356,254.3356
STR013,1987,Supermarket,High,Tier 3,NCJ18,12.35,Low Fat,0.163805509,Household,117.6124,3910.9092
STR045,2002,Supermarket,Small,Tier 2,FDN48,13.35,Low Fat,0.065082452,Baking Goods,93.0804,2113.2492
STR019,1985,Grocery Store,Small,Tier 1,FDZ59,11.85,Regular,0.182128363,Baking Goods,165.65,665.8
STR027,1985,Cold Storage,Medium,Tier 3,FDB57,,Regular,0.01871404,Fruits and Vegetables,223.4772,7116.0704
STR019,1985,Grocery Store,Small,Tier 1,DRP35,,Low Fat,0.159096908,Hard Drinks,129.3336,127.8336
STR013,1987,Supermarket,High,Tier 3,FDZ59,6.63,Regular,0.103935018,Baking Goods,166.85,5326.4
STR018,2009,Convenience,Medium,Tier 3,FDU58,6.61,Regular,0.029129907,Snack Foods,188.4898,4677.245
STR035,2004,Supermarket,Small,Tier 2,FDL09,19.6,Regular,0.128011859,Snack Foods,166.8816,1845.5976
STR017,2007,Supermarket,Small,Tier 2,FDY38,13.6,Regular,0.119850541,Dairy,234.53,6524.84
STR027,1985,Cold Storage,Medium,Tier 3,FDI46,,Low Fat,0.073985248,Snack Foods,252.5724,3271.7412
STR017,2007,Supermarket,Small,Tier 2,FDL03,19.25,Regular,0.027233781,Meat,197.511,982.055
STR019,1985,Grocery Store,Small,Tier 1,DRC25,,Low Fat,0.079440262,Soft Drinks,86.7882,85.8882
STR045,2002,Supermarket,Small,Tier 2,FDU60,20,Regular,0.060022526,Baking Goods,168.7132,6426.3016
STR027,1985,Cold Storage,Medium,Tier 3,FDP25,,Low Fat,0.02110482,Canned,217.0824,6769.8544
STR010,1998,Grocery Store,Small,Tier 3,FDO57,20.75,Low Fat,0.181958524,Snack Foods,161.0578,481.3734
STR049,1999,Supermarket,Medium,Tier 1,FDQ09,7.235,Low Fat,0.058222587,Snack Foods,114.8834,3340.3186
STR027,1985,Cold Storage,Medium,Tier 3,NCY05,,Low Fat,0.054723717,Health and Hygiene,36.6874,1058.622
STR049,1999,Supermarket,Medium,Tier 1,FDA20,6.78,Low Fat,0.066724663,Fruits and Vegetables,187.724,1491.392
STR010,1998,Grocery Store,Small,Tier 3,FDF16,7.3,Low Fat,0.144167934,Frozen Foods,146.3076,886.8456
STR013,1987,Supermarket,High,Tier 3,NCG07,12.3,Low Fat,0.052458358,Household,188.753,3795.06
STR018,2009,Convenience,Medium,Tier 3,FDR46,16.85,Low Fat,0.139985583,Snack Foods,145.276,2490.092
STR049,1999,Supermarket,Medium,Tier 1,FDP22,14.65,Regular,0.099286298,Snack Foods,49.8666,563.9326
STR035,2004,Supermarket,Small,Tier 2,FDL45,15.6,Low Fat,0.037680711,Snack Foods,123.7704,3129.26
STR018,2009,Convenience,Medium,Tier 3,NCF42,17.35,Low Fat,0.168064909,Household,176.2712,1230.3984
STR049,1999,Supermarket,Medium,Tier 1,FDD04,16,Low Fat,0.090111173,Dairy,141.3154,3261.7542
STR018,2009,Convenience,Medium,Tier 3,FDC45,17,Low Fat,0.136286138,Fruits and Vegetables,170.9106,1197.7742
STR045,2002,Supermarket,Small,Tier 2,FDI40,11.5,Regular,0.125857678,Frozen Foods,100.5358,2111.2518
STR046,1997,Supermarket,Small,Tier 1,FDQ11,5.695,Regular,0.067700925,Breads,256.5988,2055.9904
STR046,1997,Supermarket,Small,Tier 1,DRM48,15.2,Low Fat,0.112896669,Soft Drinks,36.0848,1193.1136
STR013,1987,Supermarket,High,Tier 3,FDS12,9.1,Low Fat,0.173973652,Baking Goods,126.5362,1761.7068
STR017,2007,Supermarket,Small,Tier 2,FDR46,16.85,Low Fat,0,Snack Foods,146.076,2636.568
STR045,2002,Supermarket,Small,Tier 2,NCO02,11.15,Low Fat,0.073516952,Others,65.9142,790.9704
STR013,1987,Supermarket,High,Tier 3,FDQ52,17,Low Fat,0.119285634,Frozen Foods,247.4434,2980.1208
STR017,2007,Supermarket,Small,Tier 2,FDY28,7.47,Regular,0.153011599,Frozen Foods,215.2218,3419.5488
STR046,1997,Supermarket,Small,Tier 1,FDE32,20.7,Low Fat,0.04875891,Fruits and Vegetables,37.3506,834.9132
STR035,2004,Supermarket,Small,Tier 2,FDJ58,15.6,Regular,0.105276162,Snack Foods,173.2764,3779.0808
STR045,2002,Supermarket,Small,Tier 2,FDJ27,17.7,Regular,0.122123201,Meat,100.7674,814.9392
STR049,1999,Supermarket,Medium,Tier 1,NCM18,13,Low Fat,0.082970667,Household,60.0194,1114.5492
STR045,2002,Supermarket,Small,Tier 2,FDA02,14,Regular,0.029782937,Dairy,146.3786,866.8716
STR046,1997,Supermarket,Small,Tier 1,FDT26,18.85,Regular,0.067953506,Dairy,119.044,2396.88
STR035,2004,Supermarket,Small,Tier 2,DRD60,15.7,Low Fat,0.03722507,Soft Drinks,182.4634,1999.3974
STR046,1997,Supermarket,Small,Tier 1,NCR18,15.85,Low Fat,0.020487625,Household,44.0112,468.7232
STR046,1997,Supermarket,Small,Tier 1,FDO27,6.175,Regular,0.179077475,Meat,94.3752,1342.2528
STR019,1985,Grocery Store,Small,Tier 1,FDP25,,Low Fat,0.037131628,Canned,216.4824,218.3824
STR035,2004,Supermarket,Small,Tier 2,FDQ51,16,Regular,0.017547958,Meat,48.3718,614.5334
STR017,2007,Supermarket,Small,Tier 2,NCH07,13.15,Low Fat,0.093191195,Household,158.1604,1426.1436
STR045,2002,Supermarket,Small,Tier 2,FDP44,16.5,Regular,0.079875237,Fruits and Vegetables,102.7332,1537.998
STR017,2007,Supermarket,Small,Tier 2,NCP55,14.65,Low Fat,0.01125332,Others,57.0614,939.4438
STR013,1987,Supermarket,High,Tier 3,FDO09,13.5,Regular,0.125170423,Snack Foods,261.491,3418.883
STR049,1999,Supermarket,Medium,Tier 1,FDP38,10.1,Low Fat,0.032152004,Canned,50.6008,404.8064
STR017,2007,Supermarket,Small,Tier 2,FDI48,11.85,Regular,0.056033565,Baking Goods,51.4666,974.0654
STR045,2002,Supermarket,Small,Tier 2,FDS58,9.285,Regular,0.021049215,Snack Foods,161.0578,2406.867
STR035,2004,Supermarket,Small,Tier 2,FDJ55,12.8,Regular,0.023526504,Meat,223.5404,5626.01
STR049,1999,Supermarket,Medium,Tier 1,NCF06,6.235,Low Fat,0.020229757,Household,260.8962,5956.9126
STR045,2002,Supermarket,Small,Tier 2,FDF41,12.15,Low Fat,0.131445848,Frozen Foods,246.846,6404.996
STR019,1985,Grocery Store,Small,Tier 1,NCL05,,Low Fat,0.083862625,Health and Hygiene,44.077,216.385
STR049,1999,Supermarket,Medium,Tier 1,FDT24,12.35,Regular,0.18614827,Baking Goods,78.2328,1158.492
STR010,1998,Grocery Store,Small,Tier 3,FDK08,9.195,Regular,0.204713036,Fruits and Vegetables,101.0016,202.4032
STR018,2009,Convenience,Medium,Tier 3,FDU55,16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,2342.9502
STR017,2007,Supermarket,Small,Tier 2,NCY18,7.285,Low Fat,0.031327839,Household,174.6054,2976.7918
STR046,1997,Supermarket,Small,Tier 1,FDS11,7.05,Regular,0.055558509,Breads,224.7088,3131.9232
STR019,1985,Grocery Store,Small,Tier 1,FDC28,,Low Fat,0,Frozen Foods,109.9254,108.5254
STR046,1997,Supermarket,Small,Tier 1,FDR59,14.5,Regular,0.063863551,Breads,262.3594,4448.2098
STR017,2007,Supermarket,Small,Tier 2,DRE15,13.35,Low Fat,0,Dairy,75.7012,1442.1228
STR049,1999,Supermarket,Medium,Tier 1,FDP19,11.5,Low Fat,0,Fruits and Vegetables,128.4652,2841.6344
STR049,1999,Supermarket,Medium,Tier 1,DRN47,12.1,Low Fat,0.016852909,Hard Drinks,180.666,2876.256
STR018,2009,Convenience,Medium,Tier 3,FDJ34,11.8,Regular,0.094037241,Snack Foods,124.5704,1001.3632
STR018,2009,Convenience,Medium,Tier 3,FDX21,7.05,Low Fat,0.085312137,Snack Foods,107.4912,982.7208
STR027,1985,Cold Storage,Medium,Tier 3,FDI57,,Low Fat,0.053764023,Seafood,195.7768,3547.3824
STR046,1997,Supermarket,Small,Tier 1,NCI42,18.75,Low Fat,0.010365546,Household,207.0954,3125.931
STR045,2002,Supermarket,Small,Tier 2,FDL03,19.25,Regular,0.027135522,Meat,196.311,3142.576
STR013,1987,Supermarket,High,Tier 3,FDX37,16.2,Low Fat,0,Canned,100.57,1398.18
STR018,2009,Convenience,Medium,Tier 3,FDW57,8.31,Regular,0.116148596,Snack Foods,176.0028,4427.57
STR017,2007,Supermarket,Small,Tier 2,FDX14,13.1,Low Fat,0.075363922,Dairy,73.8354,1956.1204
STR046,1997,Supermarket,Small,Tier 1,FDD09,13.5,Low Fat,0.021496403,Fruits and Vegetables,180.5976,3078.6592
STR046,1997,Supermarket,Small,Tier 1,FDM09,11.15,Regular,0.085931544,Snack Foods,169.679,1018.674
STR018,2009,Convenience,Medium,Tier 3,NCW54,7.5,Low Fat,0.096806008,Household,56.2588,687.1056
STR027,1985,Cold Storage,Medium,Tier 3,DRL11,,Low Fat,0.04778563,Hard Drinks,156.5946,3787.0704
STR018,2009,Convenience,Medium,Tier 3,FDJ58,15.6,Regular,0.105725004,Snack Foods,169.9764,2748.4224
STR019,1985,Grocery Store,Small,Tier 1,FDX21,,Low Fat,0.148764535,Snack Foods,111.1912,109.1912
STR017,2007,Supermarket,Small,Tier 2,FDA20,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,2609.936
STR035,2004,Supermarket,Small,Tier 2,FDL34,16,Low Fat,0.040938155,Snack Foods,141.1496,4516.7872
STR027,1985,Cold Storage,Medium,Tier 3,FDL38,,Regular,0.014661762,Canned,89.1172,2319.6472
STR018,2009,Convenience,Medium,Tier 3,DRL11,10.5,Low Fat,0.048213766,Hard Drinks,159.6946,3629.2758
STR018,2009,Convenience,Medium,Tier 3,FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,2087.9488
STR045,2002,Supermarket,Small,Tier 2,DRZ24,7.535,Low Fat,0,Soft Drinks,121.644,1557.972
STR035,2004,Supermarket,Small,Tier 2,FDM52,15.1,Low Fat,0.025988508,Frozen Foods,146.6076,2364.9216
STR017,2007,Supermarket,Small,Tier 2,FDM52,15.1,Low Fat,0.026140452,Frozen Foods,149.0076,4138.6128
STR018,2009,Convenience,Medium,Tier 3,FDV49,10,Low Fat,0.025932408,Canned,264.7226,3171.8712
STR017,2007,Supermarket,Small,Tier 2,FDF47,20.85,Low Fat,0.098170402,Starchy Foods,224.0746,2243.746
STR035,2004,Supermarket,Small,Tier 2,FDF56,16.7,Regular,0.119439636,Fruits and Vegetables,182.1976,724.3904
STR010,1998,Grocery Store,Small,Tier 3,FDW12,8.315,Regular,0.059540542,Baking Goods,143.6444,145.1444
STR019,1985,Grocery Store,Small,Tier 1,FDY09,,Low Fat,0.044122209,Snack Foods,173.8054,175.1054
STR035,2004,Supermarket,Small,Tier 2,FDY55,16.75,Low Fat,0.081304829,Fruits and Vegetables,258.4988,4111.9808
STR019,1985,Grocery Store,Small,Tier 1,FDU36,11.85,Low Fat,0.081014461,Baking Goods,98.8384,492.692
STR049,1999,Supermarket,Medium,Tier 1,NCR06,12.5,Low Fat,0.006775667,Household,42.9112,1022.6688
STR046,1997,Supermarket,Small,Tier 1,FDW24,6.8,Low Fat,0.03749705,Baking Goods,49.9034,194.4136
STR013,1987,Supermarket,High,Tier 3,FDF16,7.3,Low Fat,0.086060695,Frozen Foods,149.8076,2808.3444
STR049,1999,Supermarket,Medium,Tier 1,NCR18,15.85,Low Fat,0.020519478,Household,42.5112,852.224
STR035,2004,Supermarket,Small,Tier 2,DRD01,12.1,Regular,0.061163967,Soft Drinks,56.5614,828.921
STR045,2002,Supermarket,Small,Tier 2,FDS15,9.195,Regular,0.07821891,Meat,107.6596,323.5788
STR013,1987,Supermarket,High,Tier 3,FDT19,7.59,Regular,0.14492016,Fruits and Vegetables,174.708,2942.836
STR013,1987,Supermarket,High,Tier 3,FDE59,12.15,Low Fat,0.062235983,Starchy Foods,34.5532,359.532
STR010,1998,Grocery Store,Small,Tier 3,FDE04,19.75,Regular,0.030166924,Frozen Foods,179.766,719.064
STR035,2004,Supermarket,Small,Tier 2,NCV17,18.85,Low Fat,0.016104504,Health and Hygiene,130.2626,2360.9268
STR013,1987,Supermarket,High,Tier 3,FDC17,12.15,Low Fat,0.01544786,Frozen Foods,211.2928,2735.1064
STR035,2004,Supermarket,Small,Tier 2,FDI45,13.1,Low Fat,0.037574137,Fruits and Vegetables,174.2054,3677.2134
STR027,1985,Cold Storage,Medium,Tier 3,FDZ33,,Low Fat,0.106876976,Snack Foods,146.7076,3842.9976
STR019,1985,Grocery Store,Small,Tier 1,FDJ56,,Low Fat,0.32111501,Fruits and Vegetables,100.77,199.74
STR013,1987,Supermarket,High,Tier 3,FDN25,7.895,Regular,0.061124626,Breakfast,58.5588,171.7764
STR019,1985,Grocery Store,Small,Tier 1,FDC10,,Regular,0.127599399,Snack Foods,118.9098,120.5098
STR049,1999,Supermarket,Medium,Tier 1,FDQ22,16.75,Low Fat,0.029785889,Snack Foods,38.9822,628.5152
STR035,2004,Supermarket,Small,Tier 2,NCR54,16.35,Low Fat,0,Household,198.211,2946.165
STR035,2004,Supermarket,Small,Tier 2,DRK11,8.21,Low Fat,0.010762387,Hard Drinks,149.5392,1789.6704
STR017,2007,Supermarket,Small,Tier 2,DRI37,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,468.7232
STR049,1999,Supermarket,Medium,Tier 1,FDX37,16.2,Low Fat,0.063127333,Canned,100.47,1597.92
STR046,1997,Supermarket,Small,Tier 1,FDF05,17.5,Low Fat,0.02687089,Frozen Foods,264.491,3681.874
STR019,1985,Grocery Store,Small,Tier 1,FDW36,11.85,Low Fat,0.099681705,Baking Goods,107.4622,317.5866
STR035,2004,Supermarket,Small,Tier 2,FDI04,13.65,Regular,0.072898645,Frozen Foods,198.1426,1977.426
STR045,2002,Supermarket,Small,Tier 2,FDB04,11.35,Regular,0.063354531,Dairy,88.9856,1230.3984
STR035,2004,Supermarket,Small,Tier 2,FDU38,10.8,Low Fat,0.082534287,Dairy,191.1504,4410.2592
STR013,1987,Supermarket,High,Tier 3,FDY28,7.47,Regular,0.152024355,Frozen Foods,211.8218,1496.0526
STR046,1997,Supermarket,Small,Tier 1,FDP20,19.85,Low Fat,0.045669236,Fruits and Vegetables,126.402,1012.016
STR017,2007,Supermarket,Small,Tier 2,FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,2862.94
STR049,1999,Supermarket,Medium,Tier 1,FDR45,10.8,Low Fat,0.028988288,Snack Foods,239.2222,6692.6216
STR046,1997,Supermarket,Small,Tier 1,NCC42,15,Low Fat,0.044908404,Health and Hygiene,140.2838,1404.838
STR017,2007,Supermarket,Small,Tier 2,NCF42,17.35,Low Fat,0.168329848,Household,176.7712,2812.3392
STR010,1998,Grocery Store,Small,Tier 3,FDZ45,14.1,Low Fat,0.111936685,Snack Foods,198.8084,992.042
STR017,2007,Supermarket,Small,Tier 2,FDB23,19.2,Regular,0.005620213,Starchy Foods,226.6062,5191.2426
STR049,1999,Supermarket,Medium,Tier 1,FDC41,15.6,Low Fat,0.117095014,Frozen Foods,78.067,1148.505
STR019,1985,Grocery Store,Small,Tier 1,FDA10,,Low Fat,0.248301532,Snack Foods,124.1072,245.0144
STR017,2007,Supermarket,Small,Tier 2,NCM26,20.5,Low Fat,0.023274107,Others,154.134,2909.546
STR019,1985,Grocery Store,Small,Tier 1,FDZ58,,Low Fat,0.091354948,Snack Foods,122.3072,122.5072
STR035,2004,Supermarket,Small,Tier 2,FDW35,10.6,Low Fat,0.011087128,Breads,41.4454,1468.089
STR035,2004,Supermarket,Small,Tier 2,FDX32,15.1,Regular,0.099839365,Fruits and Vegetables,143.3786,1733.7432
STR018,2009,Convenience,Medium,Tier 3,FDK40,7.035,Low Fat,0.021938404,Frozen Foods,264.691,5785.802
STR017,2007,Supermarket,Small,Tier 2,FDD04,16,Low Fat,0.090480206,Dairy,142.4154,1985.4156
STR046,1997,Supermarket,Small,Tier 1,FDP28,13.65,Regular,0.080640478,Frozen Foods,262.6936,4175.8976
STR013,1987,Supermarket,High,Tier 3,NCL42,18.85,Low Fat,0.040338009,Household,246.7144,6615.3888
STR035,2004,Supermarket,Small,Tier 2,DRB13,6.115,Regular,0.007043008,Soft Drinks,190.353,569.259
STR018,2009,Convenience,Medium,Tier 3,FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,2759.0752
STR035,2004,Supermarket,Small,Tier 2,FDO58,19.6,Low Fat,0.039569689,Snack Foods,165.9526,2631.2416
STR010,1998,Grocery Store,Small,Tier 3,FDE34,9.195,Low Fat,0.180588082,Snack Foods,182.2634,363.5268
STR046,1997,Supermarket,Small,Tier 1,NCE19,8.97,Low Fat,0.09301462,Household,52.7956,1037.3164
STR010,1998,Grocery Store,Small,Tier 3,NCJ18,12.35,Low Fat,0.274405193,Household,117.1124,355.5372
STR049,1999,Supermarket,Medium,Tier 1,FDF52,9.3,Low Fat,0.066887123,Frozen Foods,183.9292,3283.7256
STR035,2004,Supermarket,Small,Tier 2,FDY04,17.7,Regular,0.042468413,Frozen Foods,162.421,1468.089
STR049,1999,Supermarket,Medium,Tier 1,DRF49,7.27,Low Fat,0.071188446,Soft Drinks,111.9518,1138.518
STR010,1998,Grocery Store,Small,Tier 3,FDX27,20.7,Regular,0.191008614,Dairy,92.8436,189.0872
STR013,1987,Supermarket,High,Tier 3,FDV28,16.1,Regular,0.159595473,Frozen Foods,32.8558,339.558
STR019,1985,Grocery Store,Small,Tier 1,FDE33,,Regular,0.086905536,Fruits and Vegetables,78.8644,314.2576
STR013,1987,Supermarket,High,Tier 3,FDQ37,20.75,Low Fat,0.089186387,Breakfast,193.3478,6006.1818
STR046,1997,Supermarket,Small,Tier 1,NCG30,20.2,Low Fat,0.112321218,Household,123.6046,2988.1104
STR017,2007,Supermarket,Small,Tier 2,NCH29,5.51,Low Fat,0.034668802,Health and Hygiene,98.5726,1761.7068
STR017,2007,Supermarket,Small,Tier 2,FDV20,20.2,Regular,0,Fruits and Vegetables,129.0678,3560.6984
STR018,2009,Convenience,Medium,Tier 3,FDG57,14.7,Low Fat,0.072592873,Fruits and Vegetables,48.5034,874.8612
STR035,2004,Supermarket,Small,Tier 2,FDU60,20,Regular,0.059889718,Baking Goods,168.5132,2874.9244
STR010,1998,Grocery Store,Small,Tier 3,NCH30,17.1,Low Fat,0.112402118,Household,112.986,113.186
STR010,1998,Grocery Store,Small,Tier 3,NCM29,11.5,Low Fat,0.029529474,Health and Hygiene,132.6626,262.3252
STR018,2009,Convenience,Medium,Tier 3,FDB12,11.15,Regular,0.105736638,Baking Goods,104.4648,2181.1608
STR049,1999,Supermarket,Medium,Tier 1,FDD53,16.2,Low Fat,0.044291251,Frozen Foods,43.3454,503.3448
STR049,1999,Supermarket,Medium,Tier 1,FDI44,16.1,Low Fat,0.100388706,Fruits and Vegetables,76.0328,1853.5872
STR027,1985,Cold Storage,Medium,Tier 3,FDW56,,Low Fat,0.070556945,Fruits and Vegetables,191.2162,7504.2318
STR018,2009,Convenience,Medium,Tier 3,FDA01,15,Regular,0.054599767,Canned,59.4904,644.4944
STR013,1987,Supermarket,High,Tier 3,FDG47,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,2885.5772
STR035,2004,Supermarket,Small,Tier 2,FDT40,5.985,Low Fat,0,Frozen Foods,125.2678,1017.3424
STR035,2004,Supermarket,Small,Tier 2,FDU20,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,2530.7058
STR018,2009,Convenience,Medium,Tier 3,NCP41,16.6,Low Fat,0.016276741,Health and Hygiene,109.8596,1617.894
STR027,1985,Cold Storage,Medium,Tier 3,FDW36,3.2,Low Fat,0.056656942,Baking Goods,106.2622,2328.9684
STR049,1999,Supermarket,Medium,Tier 1,FDN31,11.5,Low Fat,0.072994847,Fruits and Vegetables,189.253,1328.271
STR010,1998,Grocery Store,Small,Tier 3,NCU54,8.88,Low Fat,0.165073642,Household,207.727,209.727
STR046,1997,Supermarket,Small,Tier 1,FDS01,11.6,Low Fat,0.017744999,Canned,177.9686,1244.3802
STR017,2007,Supermarket,Small,Tier 2,FDA23,9.8,Low Fat,0.047453947,Baking Goods,101.7016,1518.024
